start,end,text,label
0.0,1.6099999999999999,disclaimer what you're about to watch is,Clean
1.6099999999999999,1.6199999999999999,disclaimer what you're about to watch is,Clean
1.6199999999999999,3.889,"disclaimer what you're about to watch is
a parody of a cartoon called Pokemon X&Y",Clean
3.889,3.899,a parody of a cartoon called Pokemon X&Y,Clean
3.899,6.019,"a parody of a cartoon called Pokemon X&Y
the series which is not owned by fair to",Clean
6.019,6.029,the series which is not owned by fair to,Clean
6.029,8.179,"the series which is not owned by fair to
bridge it is owned by Nintendo Jarek",Clean
8.179,8.189,bridge it is owned by Nintendo Jarek,Clean
8.189,11.209,"bridge it is owned by Nintendo Jarek
ikkaku Game Freak Medianet TV Tokyo Show",Clean
11.209,11.219,ikkaku Game Freak Medianet TV Tokyo Show,Clean
11.219,13.309999999999999,"ikkaku Game Freak Medianet TV Tokyo Show
Pro and Satoshi Tajiri he didn't make",Clean
13.309999999999999,13.32,Pro and Satoshi Tajiri he didn't make,Clean
13.32,14.748999999999999,"Pro and Satoshi Tajiri he didn't make
this for money he made it for his",Clean
14.748999999999999,14.758999999999999,this for money he made it for his,Clean
14.758999999999999,16.519,"this for money he made it for his
friends his fans and most importantly",Clean
16.519,16.529,friends his fans and most importantly,Clean
16.529,20.33,"friends his fans and most importantly
for Ashe so please support the official",Clean
20.33,20.34,for Ashe so please support the official,Clean
20.34,22.099,"for Ashe so please support the official
release I know I will",Clean
22.099,22.108999999999998,release I know I will,Clean
22.108999999999998,24.779999999999998,"release I know I will
cuz I'm in it and enjoy",Clean
24.779999999999998,24.79,cuz I'm in it and enjoy,Clean
24.79,27.59,"cuz I'm in it and enjoy
[Applause]",Clean
27.59,27.599999999999998,[Applause],Clean
27.599999999999998,53.099999999999994,"[Applause]
[Music]",Clean
53.099999999999994,53.11,,Clean
53.11,62.419999999999995,[Music],Clean
62.419999999999995,62.43,[Music],Clean
62.43,65.55,"[Music]
we find our heroes and santalune city",Clean
65.55,65.56,we find our heroes and santalune city,Clean
65.56,68.52,"we find our heroes and santalune city
you don't care no one does grab that 3d",Clean
68.52,68.53,you don't care no one does grab that 3d,Clean
68.53,70.14,"you don't care no one does grab that 3d
s and take down the beat right because",Clean
70.14,70.14999999999999,s and take down the beat right because,Clean
70.14999999999999,73.95,"s and take down the beat right because
step from other speedrun gotta find a",Clean
73.95,73.96,step from other speedrun gotta find a,Clean
73.96,75.39,"step from other speedrun gotta find a
gym so why'd he get the gym badge gotta",Clean
75.39,75.39999999999999,gym so why'd he get the gym badge gotta,Clean
75.39999999999999,76.83,"gym so why'd he get the gym badge gotta
find a gym so wife you get the gym pants",Clean
76.83,76.84,find a gym so wife you get the gym pants,Clean
76.84,78.149,"find a gym so wife you get the gym pants
gotta find the gym so I could get the",Clean
78.149,78.15899999999999,gotta find the gym so I could get the,Clean
78.15899999999999,79.92,"gotta find the gym so I could get the
gym badge gotta get the pistol but the",Clean
79.92,79.92999999999999,gym badge gotta get the pistol but the,Clean
79.92999999999999,82.71,"gym badge gotta get the pistol but the
Bella god damn it I hate speedruns can't",Clean
82.71,82.72,Bella god damn it I hate speedruns can't,Clean
82.72,87.88,"Bella god damn it I hate speedruns can't
we get slowed down and enjoy the scenery",Clean
87.88,87.89,,Clean
87.89,89.14999999999999,[Music],Clean
89.14999999999999,89.16,[Music],Clean
89.16,93.359,"[Music]
oh-oh-oh I will piss all over your desk",Clean
93.359,93.369,oh-oh-oh I will piss all over your desk,Clean
93.369,96.63,"oh-oh-oh I will piss all over your desk
and your children if you even consider",Clean
96.63,96.64,and your children if you even consider,Clean
96.64,98.1,"and your children if you even consider
making that joke again",Clean
98.1,98.11,making that joke again,Clean
98.11,103.19999999999999,"making that joke again
oh come on I'm not calling Life Alert",Clean
103.19999999999999,103.21,oh come on I'm not calling Life Alert,Clean
103.21,105.06,"oh come on I'm not calling Life Alert
just cuz your soggy ass can't keep up",Clean
105.06,105.07,just cuz your soggy ass can't keep up,Clean
105.07,107.42999999999999,"just cuz your soggy ass can't keep up
with me so let's go ash quick question",Clean
107.42999999999999,107.44,with me so let's go ash quick question,Clean
107.44,109.32,"with me so let's go ash quick question
do you even know where the gym is that's",Clean
109.32,109.33,do you even know where the gym is that's,Clean
109.33,111.24,"do you even know where the gym is that's
right Clemont I don't know where the gym",Clean
111.24,111.25,right Clemont I don't know where the gym,Clean
111.25,113.16,"right Clemont I don't know where the gym
is well then how are you supposed to",Clean
113.16,113.17,is well then how are you supposed to,Clean
113.17,114.38,"is well then how are you supposed to
find it",Clean
114.38,114.39,find it,Clean
114.39,117.6,"find it
hmm isn't it obvious Clemont I'm gonna",Clean
117.6,117.61,hmm isn't it obvious Clemont I'm gonna,Clean
117.61,119.49,"hmm isn't it obvious Clemont I'm gonna
do what every great trainer ever has",Clean
119.49,119.5,do what every great trainer ever has,Clean
119.5,121.71,"do what every great trainer ever has
done run around until I see something",Clean
121.71,121.72,done run around until I see something,Clean
121.72,123.419,"done run around until I see something
that looks like a gym and if I can't",Clean
123.419,123.42899999999999,that looks like a gym and if I can't,Clean
123.42899999999999,124.919,"that looks like a gym and if I can't
find it then I'll just look it up on my",Clean
124.919,124.92899999999999,find it then I'll just look it up on my,Clean
124.92899999999999,129.42,"find it then I'll just look it up on my
phone that's the American Way",Clean
129.42,129.43,,Clean
129.43,132.43,what what the hell wow that was a great,Clean
132.43,132.44,what what the hell wow that was a great,Clean
132.44,134.29,"what what the hell wow that was a great
picture would you like to give a tip",Clean
134.29,134.29999999999998,picture would you like to give a tip,Clean
134.29999999999998,137.79999999999998,"picture would you like to give a tip
excuse me who the fuck are you oh I'm",Hate
137.79999999999998,137.81,excuse me who the fuck are you oh I'm,Abusive
137.81,138.51999999999998,"excuse me who the fuck are you oh I'm
sorry",Abusive
138.51999999999998,138.53,sorry,Clean
138.53,140.92,"sorry
my name is viola I was just taking no no",Clean
140.92,140.93,my name is viola I was just taking no no,Clean
140.93,144.45999999999998,"my name is viola I was just taking no no
no no who are you to take a picture of",Clean
144.45999999999998,144.47,no no who are you to take a picture of,Clean
144.47,147.07,"no no who are you to take a picture of
me without my persimmons and then have",Clean
147.07,147.07999999999998,me without my persimmons and then have,Clean
147.07999999999998,149.98,"me without my persimmons and then have
the girl to ask for a tip as you don't",Clean
149.98,149.98999999999998,the girl to ask for a tip as you don't,Clean
149.98999999999998,154.78,"the girl to ask for a tip as you don't
have to be so rude oh I'm sorry I can",Clean
154.78,154.79,have to be so rude oh I'm sorry I can,Clean
154.79,156.88,"have to be so rude oh I'm sorry I can
delete the photo if you no no it's not",Clean
156.88,156.89,delete the photo if you no no it's not,Clean
156.89,158.56,"delete the photo if you no no it's not
even about the photo anymore I'm just",Clean
158.56,158.57,even about the photo anymore I'm just,Clean
158.57,161.26,"even about the photo anymore I'm just
like so offended that you even took it",Clean
161.26,161.26999999999998,like so offended that you even took it,Clean
161.26999999999998,163.12,"like so offended that you even took it
there's no way you could possibly make",Clean
163.12,163.13,there's no way you could possibly make,Clean
163.13,164.89,"there's no way you could possibly make
up for this would you give me a tip if I",Clean
164.89,164.9,up for this would you give me a tip if I,Clean
164.9,166.45,"up for this would you give me a tip if I
told you where the santalune dream is",Clean
166.45,166.45999999999998,told you where the santalune dream is,Clean
166.45999999999998,168.34,"told you where the santalune dream is
only like my entire wallet and",Clean
168.34,168.35,only like my entire wallet and,Clean
168.35,170.04999999999998,"only like my entire wallet and
whatever's in it just take a left down",Clean
170.04999999999998,170.06,whatever's in it just take a left down,Clean
170.06,171.42999999999998,"whatever's in it just take a left down
that street and it's the giant green",Clean
171.42999999999998,171.44,that street and it's the giant green,Clean
171.44,173.23,"that street and it's the giant green
ugly building here upside down you got",Clean
173.23,173.23999999999998,ugly building here upside down you got,Clean
